English_Word,Amharic,Egyptian Arabic,Hausa,Levantine Arabic,Modern Standard Arabic,Sudanese Arabic,Vietnamese,Indonesian,Javanese,Tagalog,Kannada,Tamil,Telugu,Bengali,Bhojpuri,English,French,Gujarati,Hindi,Persian,Italian,Marathi,Portuguese,Russian,Spanish,German,Urdu,Punjabi,Japanese,Korean,Thai,Swahili,Mandarin,Wu,Yue,Turkish
leaf,ቅጠል (qital),ورقة (wara'a),ganye,ورقة (waraqa),وَرَقَة (waraqah),ورقة (waraqa),lá,daun,godhong,dahon,ಎಲೆ (ele),இலை (ilai),ఆకు (āku),পাতা (pata),पात (pāt),leaf,feuille,પાંદડું (pā̃dḍũ),पत्ता (pattā),برگ (barg),foglia,पान (pān),folha,лист (list),hoja,Blatt,پتا (pattā),پتا (patā),葉 (ha),잎 (ip),ใบไม้ (baimai),jani,葉 (yè),葉子 (yiq tsy),葉 (yihp),yaprak
root,ሥር (sir),جدر (gidr),saiwa,شرش (shirsh),جِذْر (jidhr),جذر (jizr),rễ,akar,oyod,ugat,ಬೇರು (bēru),வேர் (vēr),వేరు (vēru),শিকড় (śikoṛ),जड़ (jaṛ),root,racine,મૂળ (mūḷ),जड़ (jaṛ),ریشه (riše),radice,मूळ (mūḷ),raiz,ко́рень (kórenʹ),raíz,Wurzel,جڑ (jaṛ),جڑھ (jaṛh),根 (ne),뿌리 (ppuri),รากไม้ (rakmai),mzizi,根 (gēn),根 (ken),根 (gān),kök
bark (of tree),ቅርፊት (qirfit),جدع (gada'),ɓawon itace,قشرة (qishra),قِلْف (qilf),قشرة (qishrah),vỏ,pepagan,babakan,balat,ತೊಗಟೆ (togaṭe),பட்டை (paṭṭai),బెరడు (beraḍu),ছাল (chal),छाल (chāl),bark,écorce,છાલ (chāl),छाल (chāl),پوست (pust),corteccia,साल (sāl),casca,кора́ (korá),corteza,Borke,چھال (chāl),چھل (chilla),樹皮 (juhi),껍질 (kkeopjil),เปลือกไม้ (plueakmai),gamba,樹皮 (shùpí),樹皮 (zy bi),樹皮 (syuh peìh),kabuk
skin,ቆዳ (qoda),جلد (gild),fata,جلد (jild),جِلْد (jild),جلد (jild),da,kulit,kulit,balat,ಚರ್ಮ (carma),தோல் (tōl),తోలు (tōlu),চামড়া (camṛa),चमड़ी (chamṛī),skin,peau,ચામડી (cāmḍī),चमड़ी (camṛī),پوست (pust),pelle,त्वचा (tvacā),pele,ко́жа (kóža),piel,Haut,جلد (jild),چمڑی (camṛī),皮 (kawa),피부 (pibu),หนัง (nang),ngozi,皮 (pí),皮膚 (bi fu),皮 (peìh),deri
flesh,ሥጋ (siga),لحمة (laḥma),nama,لحم (laḥm),لَحْم (laḥm),لحم (laḥm),thịt,daging,daging,laman,ಮಾಂಸ (māṃsa),மாமிசம் (māmicam),మాంసం (māṁsaṁ),মাংস (maṅśo),शिकार (shikār),flesh,viande,માંસ (mā̃s),माँस (mā̃s),گوشت (gušt),carne,मास (mās),carne,мя́со (mjáso),carne,Fleisch,گوشت (gosht),ماس (mās),肉 (shishi),살 (sal),เนื้อ (nuea),nyama,肉 (ròu),肉 (gnioq),肉 (yuhk),et
blood,ደም (dem),دم (damm),jini,دم (damm),دَم (dam),دم (damm),máu,darah,getih,dugo,ರಕ್ತ (rakta),இரத்தம் (rattam),రక్తము (raktamu),রক্ত (rokto),ख़ून (xūn),blood,sang,લોહી (lohī),ख़ून (xūn),خون (xun),sangue,रक्त (rakta),sangue,кровь (krovʹ),sangre,Blut,خون (xūn),لہو (lahū),血 (chi),피 (pi),เลือด (lueat),damu,血 (xiě),血 (shiuq),血 (hyut),kan
bone,አጥንት ('aṭint),عضم ('aḍm),ƙashi,عضم ('aḍm),عَظْم ('aẓm),عضم (aḍm),xương,tulang,balung,buto,ಎಲುಬು (elubu),எலும்பு (elumpu),ఎముక (emuka),হাড় (haṛ),हड्डी (haḍḍī),bone,os,હાડકું (hāḍkũ),हड्डी (haḍḍī),استخوان (ostoxân),osso,हाड (hāḍ),osso,кость (kostʹ),hueso,Knochen,ہڈی (haḍḍī),ہڈی (haḍḍī),骨 (hone),뼈 (ppyeo),กระดูก (kraduk),mfupa,骨 (gǔ),骨頭 (kueq deu),骨 (gwat),kemik
grease/fat,ስብ (sib),دهن (dihn),ƙiba,شحم (shaḥm),دُهْن (duhn),دهن (dihn),mỡ,lemak,gajih,taba,ಕೊಬ್ಬು (kobbu),கொழுப்பு (koḻuppu),కొవ్వు (kovvu),চর্বি (corbi),चरबी (charbī),grease,graisse,ચરબી (carbī),चरबी (carbī),چربو (čarbu),grasso,चरबी (carbī),gordura,жир (žir),grasa,Fett,چربی (carbī),چربی (carbī),脂 (abura),지방 (jibang),ไขมัน (khaiman),mafuta,脂肪 (zhīfáng),脂肪 (tsy faon),脂肪 (jī fōng),yağ
egg,እንቁላል (inqulal),بيضة (bēḍa),ƙwai,بيضة (bēḍa),بَيْضَة (bayḍah),بيضة (bēḍah),trứng,telur,endhog,itlog,ಮೊಟ್ಟೆ (moṭṭe),முட்டை (muṭṭai),గుడ్డు (guḍḍu),ডিম (ḍim),अंडा (aṇḍā),egg,œuf,ઈંડું (ī̃ḍũ),अंडा (aṇḍā),تخم (toxm),uovo,अंडे (aṇḍe),ovo,яйцо́ (jajcó),huevo,Ei,انڈہ (anḍā),آنڈا (āṇḍā),卵 (tamago),알 (al),ไข่ (khai),yai,蛋 (dàn),蛋 (de),蛋 (daahn),yumurta
horn,ቀንድ (qend),قرن (qarn),ƙaho,قرن (qarn),قَرْن (qarn),قرن (garn),sừng,tanduk,sungu,sungay,ಕೊಂಬು (kombu),கொம்பு (kompu),కొమ్ము (kommu),শিং (śiṅ),सींग (sīṅg),horn,corne,શીંગડું (śī̃gḍũ),सींग (sīṅg),شاخ (šâx),corno,शिंग (śiṅga),chifre,рог (rog),cuerno,Horn,سینگ (sīng),سِنگ (siṅg),角 (tsuno),뿔 (ppul),เขา (khao),pembe,角 (jiǎo),角 (koq),角 (gok),boynuz
tail,ጅራት (jirat),ديل (dīl),wutsiya,دنب (danab),ذَنَب (dhanab),دنب (danab),đuôi,ekor,buntut,buntot,ಬಾಲ (bāla),வால் (vāl),తోక (tōka),লেজ (lej),पोँछ (põch),tail,queue,પૂંછડી (pū̃chḍī),पूँछ (pū̃ch),دم (dom),coda,शेपूट (śepūṭ),cauda,хвост (xvost),cola,Schwanz,پونچھ (pūnch),پُوچھ (pūch),尾 (o),꼬리 (kkori),หาง (hang),mkia,尾 (wěi),尾巴 (gni po),尾 (méih),kuyruk
feather,ላባ (laba),ريشة (rīsha),gashin tsuntsu,ريشة (rīshe),رِيشَة (rīshah),ريش (rish),lông vũ,bulu,wulu,balahibo,ಗರಿ (gari),இறகு (iṟaku),ఈక (īka),পর (por),पाँख (pā̃kh),feather,plume,પીંછું (pī̃chũ),पंख (paṅkh),پر (par),penna,पीस (pīs),pena,перо́ (peró),pluma,Feder,پر (par),کھنبھ (khambh),羽 (hane),깃털 (gitteol),ขนนก (khon nok),unyoya,羽毛 (yǔmáo),羽毛 (yu mau),羽毛 (jyúh mouh),tüy
hair,ፀጉር (ṣegur),شعر (sha'r),suma,شعر (sha'r),شَعْر (sha'r),شعر (sha'r),tóc,rambut,rambut,buhok,ಕೂದಲು (kūdalu),முடி (muṭi),వెంట్రుకలు (veṇṭrukalu),চুল (cul),बार (bār),hair,cheveux,વાળ (vāḷ),बाल (bāl),مو (mu),capello,केस (kes),cabelo,во́лос (vólos),pelo,Haar,بال (bāl),وال (vāl),髪 (kami),머리카락 (meorikarak),ผม (phom),nywele,頭髮 (tóufa),頭髮 (deu faq),頭髮 (tàuh faat),saç
head,ራስ (ras),راس (rās),kai,راس (rās),رَأْس (ra's),راس (rās),đầu,kepala,sirah,ulo,ತಲೆ (tale),தலை (talai),తల (tala),মাথা (matha),कपार (kapār),head,tête,માથું (māthũ),सिर (sir),سر (sar),testa,डोके (ḍoke),cabeça,голова́ (golová),cabeza,Kopf,سر (sar),سِر (sir),頭 (atama),머리 (meori),หัว (hua),kichwa,頭 (tóu),頭 (deu),頭 (tàuh),baş
ear,ጆሮ (joro),ودن (widn),kunne,دان (dān),أُذُن (udhūn),أضان (aḍān),tai,telinga,kuping,tainga,ಕಿವಿ (kivi),காது (kātu),చెవి (cevi),কান (kan),कान (kān),ear,oreille,કાન (kān),कान (kān),گوش (guš),orecchio,कान (kān),orelha,у́хо (úxo),oreja,Ohr,کان (kān),کن (kann),耳 (mimi),귀 (gwi),หู (hu),sikio,耳朵 (ěrduo),耳朵 (gni tu),耳仔 (yíh jái),kulak
eye,ዓይን ('ayn),عين ('ēn),ido,عين ('ēn),عَيْن ('ayn),عين (ayn),mắt,mata,mripat,mata,ಕಣ್ಣು (kaṇṇu),கண் (kaṇ),కన్ను (kannu),চোখ (cōkh),आँख (ā̃kh),eye,œil,આંખ (ā̃kha),आँख (ā̃kh),چشم (češm),occhio,डोळा (ḍoḷā),olho,глаз (glaz),ojo,Auge,آنکھ (ā̃kh),اکھ (akkha),目 (me),눈 (nun),ตา (ta),jicho,眼睛 (yǎnjing),眼睛 (nge cin),眼 (ngáahn),göz
nose,አፍንጫ ('afinča),مناخير (manākhīr),hanci,منخار (munkhār),أَنْف (anf),نخرة (nukharah),mũi,hidung,irung,ilong,ಮೂಗು (mūgu),மூக்கு (mūkku),ముక్కు (mukku),নাক (nak),नाक (nāk),nose,nez,નાક (nāk),नाक (nāk),بینی (bini),naso,नाक (nāk),nariz,нос (nos),nariz,Nase,ناک (nāk),نَک (nakka),鼻 (hana),코 (ko),จมูก (chamuk),pua,鼻 (bí),鼻頭 (biq deu),鼻 (beih),burun
mouth,አፍ ('af),بق (boqq),baki,تم (tumm),فَم (fam),خشم (khashm),miệng,mulut,cangkem,bibig,ಬಾಯಿ (bāyi),வாய் (vāy),నోరు (nōru),মুখ (mukh),मुँह (mũh),mouth,bouche,મોં (mõ),मुँह (mũh),دهان (dahân),bocca,तोण्ड (toṇḍa),boca,рот (rot),boca,Mund,منہ (munh),مُنہ (mū̃h),口 (kuchi),입 (ip),ปาก (pak),kinywa,嘴 (zuǐ),嘴巴 (tsy po),嘴 (jeúih),ağız
tooth,ጥርስ (ṭirs),سنة (sinna),haƙori,سن (sinn),سِنّ (sinn),سن (sinn),răng,gigi,untu,ngipin,ಹಲ್ಲು (hallu),பல் (pal),పన్ను (pannu),দাঁত (dãt),दाँत (dā̃t),tooth,dent,દાંત (dā̃t),दाँत (dā̃t),دندان (dandân),dente,दात (dāt),dente,зуб (zub),diente,Zahn,دانت (dānt),دند (dand),歯 (ha),이 (i),ฟัน (fan),jino,牙齒 (yáchǐ),牙齒 (nga tshy),牙 (ngàah),diş
tongue,ምላስ (milas),لسان (lisān),harshe,لسان (lsān),لِسَان (lisān),لسان (lisān),lưỡi,lidah,ilat,dila,ನಾಲಗೆ (nālage),நாக்கு (nākku),నాలుక (nāluka),জিভ (jibh),जीभ (jībh),tongue,langue,જીભ (jībh),जीभ (jībh),زبان (zabân),lingua,जीभ (jībh),língua,язы́к (jazýk),lengua,Zunge,زبان (zabān),جیبھ (jībh),舌 (shita),혀 (hyeo),ลิ้น (lin),ulimi,舌 (shé),舌頭 (zeq deu),脷 (leih),dil
claw/nail,ጥፍር (ṭifir),ضافر (ḍāfir),farce,أضفر (ḍufur),ظُفْر (ẓufr),ضفر (ḍufur),móng,kuku,kuku,kuko,ಉಗುರು (uguru),நகம் (nakam),గోరు (gōru),নখ (nokh),नाख़ुन (nāxun),nail,ongle,નખ (nakh),नाख़ुन (nāxun),ناخن (nâxon),unghia,नख (nakh),unha,но́готь (nógotʹ),uña,Fingernagel,ناخن (nāxun),ننگل (naṅgal),爪 (tsume),손톱 (sontop),เล็บ (lep),ukucha,指甲 (zhǐjia),手指掐 (seu tsy khaq),指甲 (jíh gaap),tırnak
foot,እግር (igir),رجل (rigl),ƙafa,إجر (ijr),قَدَم (qadam),كراع (kurā'),bàn chân,kaki,sikil,paa,ಅಡಿ (aḍi),கால் (kāl),పాదము (pādamu),পা (pa),गोड़ (goṛ),foot,pied,પગ (pag),पैर (pair),پا (pâ),piede,पाऊल (pāūl),pé,стопа́ (stopá),pie,Fuß,پیر (pair),پَیر (pair),足 (ashi),발 (bal),เท้า (thao),mguu,腳 (jiǎo),腳 (ciaq),腳 (geuk),ayak
knee,ጉልበት (gulbet),ركبة (rukba),gwiwa,ركبة (rukbe),رُكْبَة (rukbah),ركبة (rukba),đầu gối,lutut,dhengkul,tuhod,ಮಂಡಿ (maṇḍi),மூட்டு (mūṭṭu),మోకాలు (mōkālu),হাঁটু (hãṭu),ठेहुना (ṭhehunā),knee,genou,ઘૂંટણ (ghū̃ṭaṇ),घुटना (ghuṭnā),زانو (zânu),ginocchio,गुडघा (guḍghā),joelho,коле́но (koléno),rodilla,Knie,گھٹنا (ghuṭnā),گودے (goḍe),膝 (hiza),무릎 (mureup),เข่า (khao),goti,膝 (xī),腳饅頭 (ciaq moe deu),膝頭 (sat tàuh),diz
hand,እጅ (ij),ايد (īd),hannu,إيد (īd),يَد (yad),يد (yad),bàn tay,tangan,tangan,kamay,ಕೈ (kai),கை (kai),చెయ్యి (ceyyi),হাত (hat),हाथ (hāth),hand,main,હાથ (hāth),हाथ (hāth),دست (dast),mano,हात (hāt),mão,рука́ (ruká),mano,Hand,ہاتھ (hāth),ہتھ (hattha),手 (te),손 (son),มือ (mue),mkono,手 (shǒu),手 (seu),手 (sáuh),el
belly,ሆድ (hod),بطن (baṭn),ciki,بطن (baṭen),بَطْن (baṭn),بطن (baṭn),bụng,perut,weteng,tiyan,ಹೊಟ್ಟೆ (hoṭṭe),தொந்தி (tonti),పొట్ట (poṭṭa),পেট (peṭ),पेट (peṭ),belly,ventre,પેટ (peṭ),पेट (peṭ),شکم (šekam),pancia,पोट (poṭ),barriga,живо́т (živót),barriga,Bauch,پیٹ (peṭ),ڍِڈ (ḍhiḍḍa),腹 (hara),배 (bae),ท้อง (thong),tumbo,肚子 (dùzi),肚皮 (du bi),肚 (tóuh),karın
neck,አንገት (anget),رقبة (raqaba),wuya,رقبة (raqabe),رَقَبَة (raqabah),رقبة (ragaba),cổ,leher,gulu,leeg,ಕತ್ತು (kattu),கழுத்து (kaḻuttu),మెడ (meḍa),গলা (gola),गरदन (gardan),neck,cou,ગળું (gaḷũ),गरदन (gardan),گردن (gardan),collo,गळा (gaḷā),pescoço,ше́я (šéja),cuello,Hals,گردن (gardan),گردن (gardan),首 (kubi),목 (mok),คอ (kho),shingo,脖子 (bózi),頭頸 (deu cin),頸 (géng),boyun
breast,ጡት (t’uti),بـِزّ (bezz),nono,ثديّ (ṣedr),صدر (sadar),صدر (ṣɑdr),nhũ hoa,dada,payudara,dibdib,ಎದೆ (ede),மார்பகம் (mārpakam),రొమ్ము (rom'mu),স্তন (stana),छाती (chhati),breast,sein,સ્તન (stana),स्तन (stan),سینه (sineh),seno,स्तन (stana),peito,грудь (grud'),mama,Brust,چھاتی (chhati),چھاتی (chātī),胸 (mune),가슴 (gaseum),หน้าอก (h̄n̂āxk),kifua,胸部 (xiōngbù),胷 (hyúng),胸 (hung),göğüs
